#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-9611.42168,17050.02247,5,0.1
100.924,-9422.527596,16932.49815,5,0.1
101.567,-9295.640011,16893.86825,5,0.1
102.21,-9241.436635,16858.56643,5,0.1
102.852,-9216.169885,16788.65761,5,0.1
103.495,-9180.739187,16698.96897,5,0.1
104.138,-9151.288626,16596.58572,5,0.1
104.781,-9095.592662,16477.99717,5,0.1
105.424,-8980.816364,16403.6532,5,0.1
106.067,-8889.696816,16432.92908,5,0.1
106.709,-8939.545017,16512.95059,5,0.1
107.352,-9137.32708,16518.66048,5,0.1
107.995,-9397.274045,16352.92418,5,0.1
108.638,-9574.48334,16014.72303,5,0.1
109.281,-9577.104382,15606.9369,5,0.1
109.924,-9415.716872,15255.43482,5,0.1
110.566,-9176.244465,15036.27679,5,0.1
111.209,-8962.150951,14948.25292,5,0.1
111.852,-8843.034277,14929.97833,5,0.1
112.495,-8823.637486,14900.51074,5,0.1
113.138,-8859.146021,14797.82031,5,0.1
113.781,-8867.827905,14612.47221,5,0.1
114.423,-8787.404982,14410.8042,5,0.1
115.066,-8656.067948,14262.50715,5,0.1
115.709,-8533.787226,14184.4561,5,0.1
116.352,-8483.897581,14128.63471,5,0.1
116.995,-8476.668482,14028.50941,5,0.1
117.637,-8445.955437,13882.10263,5,0.1
118.28,-8372.25525,13727.76009,5,0.1
118.923,-8267.026926,13600.97202,5,0.1
119.566,-8172.553689,13498.17027,5,0.1
120.209,-8079.561874,13397.22148,5,0.1
120.852,-7968.112002,13304.33929,5,0.1
121.494,-7835.456552,13251.89072,5,0.1
122.137,-7728.657374,13254.95809,5,0.1
122.78,-7689.313943,13280.08522,5,0.1
123.423,-7709.066759,13277.96095,5,0.1
124.066,-7748.166769,13227.38935,5,0.1
124.709,-7774.612089,13145.06186,5,0.1
125.351,-7799.885282,13042.13471,5,0.1
125.994,-7815.556761,12908.74455,5,0.1
126.637,-7798.240473,12742.06315,5,0.1
127.28,-7705.51831,12582.1935,5,0.1
127.923,-7565.540698,12492.11318,5,0.1
128.566,-7455.572725,12482.18954,5,0.1
