#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-3598.772297,13348.97848,5,0.1
100.924,-3628.23671,13285.76021,5,0.1
101.567,-3658.680068,13164.54473,5,0.1
102.21,-3650.214243,13013.99803,5,0.1
102.852,-3606.27426,12875.17871,5,0.1
103.495,-3561.197387,12760.84995,5,0.1
104.138,-3529.917834,12649.38208,5,0.1
104.781,-3491.684595,12524.05265,5,0.1
105.424,-3424.299096,12400.53831,5,0.1
106.067,-3341.095762,12305.16145,5,0.1
106.709,-3266.006968,12241.87656,5,0.1
107.352,-3217.478574,12195.01373,5,0.1
107.995,-3185.747154,12147.83563,5,0.1
108.638,-3176.247653,12094.37506,5,0.1
109.281,-3172.248714,12020.79631,5,0.1
109.924,-3154.915441,11934.48789,5,0.1
110.566,-3123.188292,11854.0673,5,0.1
111.209,-3091.619861,11789.66677,5,0.1
111.852,-3078.293485,11734.06763,5,0.1
112.495,-3086.508081,11663.91271,5,0.1
113.138,-3085.03278,11566.44587,5,0.1
113.781,-3058.097096,11459.66967,5,0.1
114.423,-3002.823266,11367.1829,5,0.1
115.066,-2944.970224,11304.64555,5,0.1
115.709,-2901.861188,11263.53908,5,0.1
116.352,-2886.230785,11226.38867,5,0.1
116.995,-2883.931434,11171.97628,5,0.1
117.637,-2870.858379,11103.34106,5,0.1
118.28,-2848.235746,11038.19626,5,0.1
118.923,-2824.950487,10982.16236,5,0.1
119.566,-2810.794348,10931.527,5,0.1
120.209,-2807.852164,10874.52907,5,0.1
120.852,-2803.455406,10802.12384,5,0.1
121.494,-2782.286122,10719.23968,5,0.1
122.137,-2734.839906,10643.47174,5,0.1
122.78,-2672.924075,10597.22607,5,0.1
123.423,-2628.271992,10584.80952,5,0.1
124.066,-2617.58559,10585.11034,5,0.1
124.709,-2642.70206,10570.16175,5,0.1
125.351,-2671.7835,10521.92416,5,0.1
125.994,-2682.288454,10455.89026,5,0.1
126.637,-2678.742013,10392.49307,5,0.1
127.28,-2672.495675,10335.78289,5,0.1
127.923,-2668.945638,10279.0825,5,0.1
128.566,-2656.868803,10219.22269,5,0.1
129.208,-2633.294612,10169.55561,5,0.1
129.851,-2617.338955,10137.52995,5,0.1
130.494,-2619.536725,10109.40468,5,0.1
131.137,-2630.265605,10072.72352,5,0.1
131.78,-2640.772413,10030.61758,5,0.1
132.423,-2655.997425,9988.464725,5,0.1
133.065,-2683.949705,9938.288715,5,0.1
133.708,-2710.10943,9868.036775,5,0.1
134.351,-2720.344728,9783.687418,5,0.1
