#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-44069.86759,12043.20565,5,0.1
100.924,-43725.91443,12896.93531,5,0.1
101.567,-43902.97786,13457.34439,5,0.1
102.21,-44327.32177,13593.99407,5,0.1
102.852,-44585.04014,13027.5071,5,0.1
103.495,-44357.60697,12684.4117,5,0.1
104.138,-44177.54057,12345.95167,5,0.1
104.781,-44052.24981,12099.7471,5,0.1
105.424,-43937.07561,11460.98648,5,0.1
106.067,-43608.11543,11060.90919,5,0.1
106.709,-43328.42405,10365.63871,5,0.1
107.352,-42726.61715,9734.328615,5,0.1
107.995,-42042.20035,9344.757658,5,0.1
108.638,-41452.69936,9034.076323,5,0.1
109.281,-40925.71478,8696.430648,5,0.1
109.924,-40379.84227,8255.555735,5,0.1
110.566,-39591.60251,7671.388744,5,0.1
111.209,-38588.56342,7491.240513,5,0.1
111.852,-37634.49447,7383.38477,5,0.1
112.495,-36699.04512,7621.803719,5,0.1
113.138,-35952.95478,7936.438886,5,0.1
113.781,-35458.66199,8537.831714,5,0.1
114.423,-35302.89698,8807.230826,5,0.1
115.066,-35116.43465,9047.84088,5,0.1
115.709,-35065.71913,9266.540695,5,0.1
116.352,-35160.4965,9305.240633,5,0.1
116.995,-35271.32202,9124.377162,5,0.1
117.637,-35281.82235,8739.58662,5,0.1
118.28,-35103.09289,8260.37943,5,0.1
118.923,-34761.65698,7822.168823,5,0.1
119.566,-34347.53808,7442.561873,5,0.1
120.209,-33878.22171,7070.217038,5,0.1
120.852,-33304.01893,6716.8805,5,0.1
121.494,-32601.7122,6463.967355,5,0.1
122.137,-31849.38539,6434.137998,5,0.1
122.78,-31321.55578,6657.156915,5,0.1
123.423,-30742.67915,6329.50189,5,0.1
124.066,-29780.01074,6748.004039,5,0.1
124.709,-29305.10772,7513.762967,5,0.1
125.351,-29357.64709,8214.760794,5,0.1
125.994,-29748.87084,8528.489335,5,0.1
126.637,-30113.74939,8387.385193,5,0.1
127.28,-30201.39797,8074.730353,5,0.1
127.923,-30133.33998,7879.40606,5,0.1
128.566,-30163.67518,7725.179181,5,0.1
129.208,-30275.11055,7330.500529,5,0.1
129.851,-30153.66005,6647.60444,5,0.1
130.494,-29595.42696,6027.725062,5,0.1
131.137,-28841.2937,5858.559443,5,0.1
131.78,-28329.92305,6052.981094,5,0.1
132.423,-28180.50677,6159.479652,5,0.1
133.065,-28090.15588,5944.063136,5,0.1
133.708,-27758.38173,5626.334741,5,0.1
134.351,-27290.31198,5540.777081,5,0.1
134.994,-26961.90322,5583.299839,5,0.1
135.637,-26755.31559,5499.146766,5,0.1
136.279,-26429.1807,5267.034984,5,0.1
136.922,-25912.2206,5200.779067,5,0.1
137.565,-25480.22482,5431.179783,5,0.1
138.208,-25344.83415,5687.906356,5,0.1
138.851,-25404.19907,5717.264044,5,0.1
139.494,-25388.02278,5445.347748,5,0.1
140.136,-25079.17407,5102.551685,5,0.1
