#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-61804.8283,11149.06538,5,0.1
100.924,-61217.4278,10731.37277,5,0.1
101.567,-60638.9505,10293.60002,5,0.1
102.21,-60069.2279,9898.983003,5,0.1
102.852,-59574.6969,9531.106489,5,0.1
103.495,-59432.0171,9253.693934,5,0.1
104.138,-59251.6128,7921.504452,5,0.1
104.781,-58340.3839,6809.987159,5,0.1
105.424,-57233.7952,5832.728903,5,0.1
106.067,-55813.4038,4919.496616,5,0.1
106.709,-54050.7428,4458.588225,5,0.1
107.352,-52357.8755,4711.223458,5,0.1
107.995,-51209.1523,5428.944047,5,0.1
108.638,-50710.8948,6074.273507,5,0.1
109.281,-50583.0455,6285.118576,5,0.1
109.924,-50428.2069,6046.555978,5,0.1
110.566,-50045.3134,5633.055017,5,0.1
111.209,-49498.137,5225.332939,5,0.1
111.852,-48866.1866,4816.902132,5,0.1
112.495,-48146.2211,4409.92099,5,0.1
113.138,-47281.3882,3999.429821,5,0.1
113.781,-46119.6372,3712.143992,5,0.1
114.423,-45245.3163,4250.618342,5,0.1
115.066,-44834.4483,4192.637187,5,0.1
115.709,-44246.2191,4110.097916,5,0.1
116.352,-43636.9316,4025.228591,5,0.1
116.995,-43013.7044,3939.002736,5,0.1
117.637,-42371.0332,3850.769816,5,0.1
118.28,-41686.8246,3757.594257,5,0.1
118.923,-40824.7562,3641.222093,5,0.1
119.566,-39828.7146,3928.323767,5,0.1
120.209,-39297.1272,4741.785506,5,0.1
120.852,-39279.3936,5027.124961,5,0.1
121.494,-39147.9028,5001.74051,5,0.1
122.137,-38869.8322,4948.134681,5,0.1
122.78,-38545.2054,4885.903287,5,0.1
123.423,-38189.7273,4818.023759,5,0.1
124.066,-37801.7492,4744.340655,5,0.1
124.709,-37261.3763,4642.316302,5,0.1
125.351,-36960.9845,5099.829919,5,0.1
125.994,-36880.7423,4731.535567,5,0.1
126.637,-36316.929,4608.429505,5,0.1
127.28,-35819.8698,4765.505011,5,0.1
127.923,-35555.7694,4962.553649,5,0.1
128.566,-35371.1897,4937.440888,5,0.1
129.208,-35029.3022,4865.433302,5,0.1
129.851,-34603.0798,5003.686946,5,0.1
130.494,-34421.8741,5431.090051,5,0.1
131.137,-34718.2645,5719.668577,5,0.1
131.78,-35235.9153,5418.883803,5,0.1
132.423,-35383.6024,4513.134298,5,0.1
133.065,-34872.9539,3627.108945,5,0.1
133.708,-34013.423,3161.251195,5,0.1
134.351,-33194.9725,3108.916081,5,0.1
134.994,-32576.8657,3225.537068,5,0.1
135.637,-32145.9624,3396.56782,5,0.1
136.279,-31877.9779,3516.930033,5,0.1
136.922,-31698.2388,3498.595708,5,0.1
137.565,-31426.1173,3282.654116,5,0.1
