#Frequency,Eps1,Eps2,Eps1,Eps2
178.063,-620.8766629,76.47530286,5,0.1
178.706,-618.3219584,75.48007463,5,0.1
179.349,-615.5942903,74.46115328,5,0.1
179.992,-612.4385884,72.68711817,5,0.1
180.635,-608.466366,71.47042849,5,0.1
181.277,-604.7079783,71.14244593,5,0.1
181.92,-601.9481668,70.98700762,5,0.1
182.563,-600.0131427,69.81462322,5,0.1
183.206,-597.7226791,67.10695422,5,0.1
183.849,-594.2363634,63.91139801,5,0.1
184.492,-589.5217443,60.73988735,5,0.1
185.134,-584.0631301,58.62930643,5,0.1
185.777,-578.350291,56.99027006,5,0.1
186.42,-572.5353025,56.43838677,5,0.1
187.063,-567.1015506,56.54326,5,0.1
187.706,-562.3537433,57.47722391,5,0.1
188.349,-558.7031809,58.54805566,5,0.1
188.991,-556.1223291,59.32021637,5,0.1
189.634,-554.5679165,59.21801261,5,0.1
190.277,-553.1811906,57.09586298,5,0.1
190.92,-550.4709488,53.49099572,5,0.1
191.563,-545.6725125,49.51358496,5,0.1
192.205,-538.9881351,46.79007566,5,0.1
192.848,-531.6586895,46.24791639,5,0.1
193.491,-525.0442986,47.66941581,5,0.1
194.134,-520.2822905,50.47229607,5,0.1
194.777,-517.6233547,52.72569804,5,0.1
195.42,-516.1998423,53.69284397,5,0.1
196.062,-514.8902069,52.70079281,5,0.1
196.705,-512.2014915,50.337544,5,0.1
197.348,-507.7581883,48.40225318,5,0.1
197.991,-502.7420555,48.06391927,5,0.1
198.634,-498.5055454,48.82818887,5,0.1
199.277,-495.3999216,49.60739024,5,0.1
199.919,-492.9252013,49.6041607,5,0.1
200.562,-490.1468356,48.69714537,5,0.1
201.205,-486.6686134,47.81803649,5,0.1
201.848,-482.6945764,47.23246532,5,0.1
202.491,-478.7315046,47.59030905,5,0.1
203.134,-475.4257567,48.26051986,5,0.1
203.776,-472.6130995,48.75481201,5,0.1
204.419,-470.1157972,49.17020743,5,0.1
205.062,-467.9344322,49.2827217,5,0.1
205.705,-465.9713536,49.08554299,5,0.1
206.348,-464.1642306,48.3493588,5,0.1
206.991,-462.0872489,46.79768117,5,0.1
207.633,-458.9395864,44.665258,5,0.1
208.276,-454.6295828,43.38558219,5,0.1
208.919,-450.3623498,43.52452948,5,0.1
209.562,-447.0117823,44.20476704,5,0.1
210.205,-444.5395776,44.67920001,5,0.1
210.847,-442.4761214,44.36799516,5,0.1
211.49,-439.8954713,43.15186736,5,0.1
212.133,-436.4158285,42.23148343,5,0.1
212.776,-432.8237426,42.11413798,5,0.1
213.419,-429.5783259,42.13934447,5,0.1
214.062,-426.3594509,42.06149081,5,0.1
214.704,-422.8885017,42.1333719,5,0.1
215.347,-419.3318419,42.85562624,5,0.1
215.99,-416.2344563,44.29111837,5,0.1
