#Frequency,Eps1,Eps2,Eps1,Eps2
177.42,-18952.86695,1618.171677,5,0.1
178.063,-18856.64757,1532.347398,5,0.1
178.706,-18707.98621,1457.220851,5,0.1
179.349,-18529.47005,1415.960091,5,0.1
179.992,-18350.53163,1420.599648,5,0.1
180.635,-18200.89451,1457.905464,5,0.1
181.277,-18092.89553,1499.135768,5,0.1
181.92,-18022.36857,1519.798008,5,0.1
182.563,-17960.60411,1487.56516,5,0.1
183.206,-17865.46163,1422.506847,5,0.1
183.849,-17735.21888,1368.709268,5,0.1
184.492,-17589.01426,1332.912993,5,0.1
185.134,-17445.32548,1325.910711,5,0.1
185.777,-17323.06675,1330.410836,5,0.1
186.42,-17218.54904,1322.913972,5,0.1
187.063,-17111.8458,1297.035903,5,0.1
187.706,-16992.14663,1269.99459,5,0.1
188.349,-16863.75077,1251.165699,5,0.1
188.991,-16739.79042,1250.492584,5,0.1
189.634,-16637.98739,1256.436069,5,0.1
190.277,-16553.50681,1238.262121,5,0.1
190.92,-16453.6492,1188.662259,5,0.1
191.563,-16325.67025,1145.317166,5,0.1
192.205,-16179.12203,1113.265159,5,0.1
192.848,-16026.71745,1113.948889,5,0.1
193.491,-15889.38325,1136.035934,5,0.1
194.134,-15777.38551,1172.074992,5,0.1
194.777,-15691.11249,1198.228699,5,0.1
195.42,-15618.99769,1209.71248,5,0.1
196.062,-15553.70793,1202.118518,5,0.1
196.705,-15478.67767,1170.02907,5,0.1
197.348,-15381.23528,1135.824215,5,0.1
197.991,-15275.6419,1120.327721,5,0.1
198.634,-15181.91863,1113.77628,5,0.1
199.277,-15100.23454,1097.294245,5,0.1
199.919,-15014.1504,1061.877898,5,0.1
200.562,-14909.1689,1021.343081,5,0.1
201.205,-14784.40253,990.3896615,5,0.1
201.848,-14654.09518,988.0551976,5,0.1
202.491,-14543.48816,1008.733125,5,0.1
203.134,-14458.70873,1024.479389,5,0.1
203.776,-14385.43908,1023.667704,5,0.1
204.419,-14310.5296,1008.741849,5,0.1
205.062,-14228.93347,986.4054705,5,0.1
205.705,-14137.72406,959.9521404,5,0.1
206.348,-14038.3807,939.7736252,5,0.1
206.991,-13938.74327,926.4475194,5,0.1
207.633,-13838.7358,913.191996,5,0.1
208.276,-13735.45704,906.2266591,5,0.1
208.919,-13636.40741,909.2736536,5,0.1
209.562,-13545.07638,912.8618101,5,0.1
210.205,-13459.07797,916.7743893,5,0.1
210.847,-13377.72904,917.8440791,5,0.1
211.49,-13297.72085,915.7920134,5,0.1
212.133,-13220.79412,913.9906901,5,0.1
212.776,-13144.10184,902.9895126,5,0.1
213.419,-13060.97781,891.4076617,5,0.1
214.062,-12971.88533,882.2886608,5,0.1
214.704,-12883.24593,885.0517376,5,0.1
215.347,-12803.74719,891.4905858,5,0.1
215.99,-12728.63421,892.340344,5,0.1
216.633,-12655.44735,896.1472373,5,0.1
217.276,-12588.33657,897.5876197,5,0.1
217.919,-12525.94972,893.7481276,5,0.1
218.561,-12461.70857,878.4258479,5,0.1
219.204,-12385.79172,859.2620388,5,0.1
219.847,-12300.93256,850.432396,5,0.1
220.49,-12221.05109,855.7971421,5,0.1
221.133,-12154.71915,862.3658309,5,0.1
221.776,-12096.2905,858.8364194,5,0.1
222.418,-12034.36964,844.2266305,5,0.1
223.061,-11963.48348,828.8414474,5,0.1
223.704,-11886.4279,818.2143214,5,0.1
224.347,-11811.24334,818.2385536,5,0.1
224.99,-11743.54764,818.9098729,5,0.1
225.633,-11680.56819,817.412162,5,0.1
226.275,-11617.86463,810.8298518,5,0.1
226.918,-11554.96621,806.7567116,5,0.1
227.561,-11495.80516,800.5580724,5,0.1
228.204,-11438.44879,789.6316814,5,0.1
228.847,-11377.47484,771.0616464,5,0.1
229.49,-11308.29444,751.890452,5,0.1
230.132,-11232.18908,737.0999113,5,0.1
230.775,-11154.35003,731.8077797,5,0.1
231.418,-11079.5029,731.5138337,5,0.1
232.061,-11007.83418,736.0741093,5,0.1
232.704,-10943.12724,745.7580106,5,0.1
233.346,-10887.81243,753.8753089,5,0.1
233.989,-10838.2688,755.5618533,5,0.1
234.632,-10790.94221,750.6116129,5,0.1
235.275,-10740.2505,736.3274792,5,0.1
235.918,-10682.49533,721.4687837,5,0.1
236.561,-10620.79619,708.5806244,5,0.1
237.203,-10556.5338,697.7787416,5,0.1
237.846,-10491.67011,691.3512864,5,0.1
238.489,-10424.90998,684.7528503,5,0.1
239.132,-10358.16179,688.8196964,5,0.1
239.775,-10300.44081,697.8318243,5,0.1
240.418,-10254.75014,705.7773672,5,0.1
241.06,-10216.05929,699.6910703,5,0.1
241.703,-10171.02331,680.5687079,5,0.1
242.346,-10112.51206,658.2648061,5,0.1
242.989,-10045.07282,645.5929605,5,0.1
243.632,-9976.766282,641.0229126,5,0.1
244.275,-9912.031644,644.7455055,5,0.1
244.917,-9852.375118,650.7616892,5,0.1
245.56,-9800.503118,663.2545501,5,0.1
246.203,-9761.00708,670.9351511,5,0.1
246.846,-9725.827903,665.3652054,5,0.1
247.489,-9684.932411,649.624986,5,0.1
248.132,-9634.092807,631.1399785,5,0.1
248.774,-9575.229253,617.7951691,5,0.1
249.417,-9515.602047,613.901919,5,0.1
250.06,-9461.486319,614.2347971,5,0.1
250.703,-9412.553754,613.1605059,5,0.1
251.346,-9365.582608,608.5720365,5,0.1
251.988,-9316.13349,600.1184089,5,0.1
252.631,-9263.927359,595.074274,5,0.1
253.274,-9213.073642,591.9623132,5,0.1
253.917,-9163.309489,588.9389141,5,0.1
254.56,-9115.812227,587.8692149,5,0.1
255.203,-9070.224725,583.4596416,5,0.1
255.845,-9024.69521,579.0656491,5,0.1
256.488,-8980.344068,573.0779043,5,0.1
257.131,-8935.334446,563.6605448,5,0.1
257.774,-8887.183323,552.3481036,5,0.1
258.417,-8834.030931,540.6977966,5,0.1
259.06,-8775.404829,533.6604243,5,0.1
259.702,-8716.652286,536.5102428,5,0.1
260.345,-8664.763899,546.3645664,5,0.1
260.988,-8623.061615,556.9639004,5,0.1
261.631,-8588.413451,560.0318737,5,0.1
262.274,-8554.136551,555.0801678,5,0.1
262.917,-8514.129987,543.2566897,5,0.1
263.559,-8466.678609,534.003553,5,0.1
264.202,-8416.755811,530.8433809,5,0.1
264.845,-8371.120792,534.2551865,5,0.1
265.488,-8330.936016,535.010292,5,0.1
266.131,-8293.213491,534.4292584,5,0.1
266.774,-8256.789968,529.3922857,5,0.1
267.416,-8218.371609,521.1805475,5,0.1
268.059,-8177.93944,512.8612729,5,0.1
268.702,-8135.861564,502.9826816,5,0.1
269.345,-8090.412991,492.9005436,5,0.1
269.988,-8041.841368,485.5534213,5,0.1
270.63,-7992.888862,482.5657026,5,0.1
271.273,-7946.169155,482.627588,5,0.1
271.916,-7902.181571,482.8695407,5,0.1
272.559,-7859.024381,481.7207036,5,0.1
273.202,-7814.63425,480.4336654,5,0.1
273.845,-7769.295385,481.779777,5,0.1
274.487,-7726.822164,487.420433,5,0.1
275.13,-7688.673896,491.978537,5,0.1
275.773,-7653.836199,495.3963773,5,0.1
