#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-118.9093984,444.6581188,5,0.1
100.924,-119.890866,442.5523009,5,0.1
101.567,-120.9049426,438.5145803,5,0.1
102.21,-120.6229436,433.4998286,5,0.1
102.852,-119.1592908,428.8757191,5,0.1
103.495,-117.6577678,425.0673969,5,0.1
104.138,-116.6158374,421.3543719,5,0.1
104.781,-115.3422777,417.1796144,5,0.1
105.424,-113.0976484,413.0653179,5,0.1
106.067,-110.3261226,409.8882884,5,0.1
106.709,-107.8248943,407.7802515,5,0.1
107.352,-106.2084003,406.2192379,5,0.1
107.995,-105.151418,404.6477226,5,0.1
108.638,-104.8349871,402.8669363,5,0.1
109.281,-104.7017813,400.416008,5,0.1
109.924,-104.1244053,397.5410509,5,0.1
110.566,-103.0675653,394.8622191,5,0.1
111.209,-102.0160122,392.7170201,5,0.1
111.852,-101.572107,390.8649974,5,0.1
112.495,-101.8457374,388.5281179,5,0.1
113.138,-101.7965947,385.2814709,5,0.1
113.781,-100.8993597,381.7247264,5,0.1
114.423,-99.05817338,378.6439669,5,0.1
115.066,-97.13107273,376.5608306,5,0.1
115.709,-95.69509899,375.191563,5,0.1
116.352,-95.17444598,373.9540727,5,0.1
116.995,-95.09785398,372.141581,5,0.1
117.637,-94.66238694,369.8553231,5,0.1
118.28,-93.90882085,367.6853321,5,0.1
118.923,-93.13318252,365.8188274,5,0.1
119.566,-92.66163765,364.1321498,5,0.1
120.209,-92.56363273,362.2335334,5,0.1
120.852,-92.41717549,359.8216954,5,0.1
121.494,-91.71202088,357.0608013,5,0.1
122.137,-90.13157444,354.5369504,5,0.1
122.78,-88.06914123,352.9964945,5,0.1
123.423,-86.58176814,352.5828961,5,0.1
124.066,-86.22580118,352.5929162,5,0.1
124.709,-87.06243765,352.0949747,5,0.1
125.351,-88.03114835,350.4881675,5,0.1
125.994,-88.38107124,348.2885601,5,0.1
126.637,-88.26293833,346.1767824,5,0.1
127.28,-88.0548711,344.287751,5,0.1
127.923,-87.93661839,342.3990455,5,0.1
128.566,-87.53433571,340.4050989,5,0.1
129.208,-86.74907299,338.7506746,5,0.1
129.851,-86.21758569,337.6838913,5,0.1
130.494,-86.29079401,336.747031,5,0.1
131.137,-86.64817593,335.5251714,5,0.1
131.78,-86.99816057,334.122611,5,0.1
132.423,-87.50530988,332.7184879,5,0.1
133.065,-88.43640797,331.0471113,5,0.1
133.708,-89.30779555,328.707,5,0.1
134.351,-89.64873612,325.8972999,5,0.1
134.994,-89.19210576,323.1534631,5,0.1
135.637,-88.45167242,320.9729941,5,0.1
136.279,-87.96148328,319.1547755,5,0.1
136.922,-87.57785213,317.2806211,5,0.1
137.565,-86.97875333,315.4130249,5,0.1
138.208,-86.26821035,313.8555805,5,0.1
138.851,-85.79611578,312.6465151,5,0.1
139.494,-85.83249127,311.4521996,5,0.1
140.136,-86.09988065,309.8549767,5,0.1
140.779,-86.18157835,307.8086418,5,0.1
141.422,-85.68567184,305.6138632,5,0.1
142.065,-84.6093894,303.862652,5,0.1
142.708,-83.66317905,302.8924329,5,0.1
143.351,-83.41158409,302.2947131,5,0.1
143.993,-83.72807294,301.4906135,5,0.1
144.636,-84.3731431,300.1893911,5,0.1
145.279,-84.80525347,298.3530185,5,0.1
145.922,-84.8464596,296.2830903,5,0.1
146.565,-84.29604643,294.3702218,5,0.1
147.208,-83.67574749,293.0229592,5,0.1
147.85,-83.45136515,292.0455129,5,0.1
148.493,-83.80288181,290.9400029,5,0.1
149.136,-84.28913432,289.286217,5,0.1
149.779,-84.41212237,287.1969296,5,0.1
150.422,-83.96264005,285.1021126,5,0.1
151.065,-83.20004856,283.3811613,5,0.1
151.707,-82.40885318,282.1148422,5,0.1
